" Frame3DD version: 20140514+               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2015, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Input data file for Frame3dd (N  m/1.000  kg) 2015-11-23 16:36:01.068244               "
" Mon Nov 23 16:42:16 2015
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions , Internal Forces 
 First Row , 1 , 17 , 547 , 3597  , 4129  
 Last Row , 1 , 544 , 3594 , 4124 , 7176 

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
     1,    0.0,        0.0,        0.0,        0.0,        0.0,        0.0,    
  1253, "min",     -0.003,      -0.000,      0.019,      0.001,     -0.001,     -0.000
  1254, "max",     -0.011,       0.011,      0.009,     -0.000,      0.001,      0.001
  1254, "min",     -0.011,       0.011,      0.009,     -0.000,     -0.001,     -0.001
  1255, "max",     -0.084,       0.025,     -0.000,     -0.000,      0.000,      0.003
  1255, "min",     -0.084,       0.025,     -0.000,     -0.000,     -0.001,     -0.002
  1256, "max",      0.040,      -0.030,     -0.023,     -0.001,      0.002,      0.003
  1256, "min",      0.040,      -0.030,     -0.023,     -0.001,     -0.002,     -0.003
  1257, "max",      0.051,      -0.008,     -0.005,      0.000,      0.000,      0.000
  1257, "min",      0.051,      -0.008,     -0.005,      0.000,     -0.000,     -0.001
  1258, "max",      0.049,      -0.003,     -0.008,      0.000,      0.001,     -0.000
  1258, "min",      0.049,      -0.003,     -0.008,      0.000,     -0.001,     -0.000
  1259, "max",     -0.035,      -0.002,     -0.032,      0.001,      0.005,      0.000
  1259, "min",     -0.035,      -0.002,     -0.032,      0.001,     -0.001,     -0.000
  1260, "max",     -0.075,      -0.016,      0.039,     -0.000,      0.005,      0.001
  1260, "min",     -0.075,      -0.016,      0.039,     -0.000,     -0.002,     -0.002
  1261, "max",      0.081,       0.010,     -0.021,     -0.000,      0.003,      0.001
  1261, "min",      0.081,       0.010,     -0.021,     -0.000,     -0.002,     -0.001
  1262, "max",     -0.038,       0.003,      0.001,      0.000,      0.000,      0.000
  1262, "min",     -0.038,       0.003,      0.001,      0.000,     -0.000,     -0.000
  1263, "max",     -0.042,       0.001,     -0.006,     -0.000,      0.001,      0.000
  1263, "min",     -0.042,       0.001,     -0.006,     -0.000,     -0.001,      0.000
  1264, "max",      0.069,      -0.039,      0.001,     -0.000,      0.000,      0.005
  1264, "min",      0.069,      -0.039,      0.001,     -0.000,     -0.001,     -0.002
  1265, "max",     -0.011,      -0.000,      0.012,      0.000,      0.002,      0.000
  1265, "min",     -0.011,      -0.000,      0.012,      0.000,     -0.000,     -0.000
  1266, "max",      0.025,       0.005,      0.002,     -0.000,      0.001,      0.001
  1266, "min",      0.025,       0.005,      0.002,     -0.000,     -0.000,     -0.000
  1267, "max",     -0.035,       0.023,     -0.002,     -0.000,      0.000,      0.003
  1267, "min",     -0.035,       0.023,     -0.002,     -0.000,     -0.001,     -0.002
  1268, "max",      0.015,      -0.024,     -0.018,     -0.001,      0.002,      0.003
  1268, "min",      0.015,      -0.024,     -0.018,     -0.001,     -0.001,     -0.002
  1269, "max",     -0.005,      -0.001,      0.003,      0.000,      0.000,     -0.000
  1269, "min",     -0.005,      -0.001,      0.003,      0.000,     -0.000,     -0.000
  1270, "max",     -0.006,      -0.006,     -0.005,     -0.000,      0.001,      0.000
  1270, "min",     -0.006,      -0.006,     -0.005,     -0.000,     -0.000,     -0.001
  1271, "max",      0.025,       0.001,     -0.027,      0.001,      0.004,      0.000
  1271, "min",      0.025,       0.001,     -0.027,      0.001,     -0.001,     -0.000
  1272, "max",     -0.023,      -0.018,      0.034,     -0.000,      0.005,      0.001
  1272, "min",     -0.023,      -0.018,      0.034,     -0.000,     -0.002,     -0.003
  1273, "max",      0.059,      -0.026,     -0.015,      0.000,      0.003,      0.005
  1273, "min",      0.059,      -0.026,     -0.015,      0.000,      0.000,     -0.000
  1274, "max",     -0.028,      -0.019,      0.051,      0.001,      0.007,      0.001
  1274, "min",     -0.028,      -0.019,      0.051,      0.001,     -0.004,     -0.003
  1275, "max",      0.006,       0.063,     -0.059,      0.002,      0.005,      0.006
  1275, "min",      0.006,       0.063,     -0.059,      0.002,     -0.007,     -0.007
  1276, "max",     -0.115,      -0.002,     -0.019,     -0.000,     -0.001,      0.000
  1276, "min",     -0.115,      -0.002,     -0.019,     -0.000,     -0.006,     -0.000
  1277, "max",     -0.000,      -0.006,      0.046,     -0.001,      0.007,      0.001
  1277, "min",     -0.000,      -0.006,      0.046,     -0.001,     -0.002,     -0.001
  1278, "max",     -0.013,      -0.010,      0.001,     -0.001,     -0.002,     -0.002
  1278, "min",     -0.013,      -0.010,      0.001,     -0.001,     -0.002,     -0.004
  1279, "max",      0.012,      -0.003,     -0.048,     -0.001,      0.003,      0.000
  1279, "min",      0.012,      -0.003,     -0.048,     -0.001,     -0.007,     -0.000
  1280, "max",      0.043,       0.027,      0.021,     -0.001,      0.002,      0.002
  1280, "min",      0.043,       0.027,      0.021,     -0.001,     -0.003,     -0.004
  1281, "max",      0.003,      -0.010,      0.011,      0.000,      0.001,      0.001
  1281, "min",      0.003,      -0.010,      0.011,      0.000,     -0.001,     -0.001
  1282, "max",      0.017,       0.010,     -0.045,      0.001,      0.003,      0.002
  1282, "min",      0.017,       0.010,     -0.045,      0.001,     -0.006,     -0.001
  1283, "max",     -0.103,      -0.007,     -0.011,      0.000,      0.003,      0.000
  1283, "min",     -0.103,      -0.007,     -0.011,      0.000,      0.001,     -0.000
  1284, "max",     -0.025,       0.021,      0.019,     -0.001,      0.003,      0.003
  1284, "min",     -0.025,       0.021,      0.019,     -0.001,     -0.001,     -0.001
  1285, "max",     -0.023,      -0.019,     -0.056,     -0.001,      0.007,      0.002
  1285, "min",     -0.023,      -0.019,     -0.056,     -0.001,     -0.004,     -0.001
  1286, "max",      0.051,      -0.004,      0.047,      0.001,      0.003,      0.000
  1286, "min",      0.051,      -0.004,      0.047,      0.001,     -0.006,     -0.000
  1287, "max",      0.044,       0.039,     -0.011,      0.001,      0.001,      0.002
  1287, "min",      0.044,       0.039,     -0.011,      0.001,     -0.001,     -0.005
  1288, "max",     -0.028,      -0.026,      0.035,     -0.001,      0.002,      0.003
  1288, "min",     -0.028,      -0.026,      0.035,     -0.001,     -0.005,     -0.002
  1289, "max",     -0.142,      -0.006,      0.022,      0.001,      0.006,      0.000
  1289, "min",     -0.142,      -0.006,      0.022,      0.001,      0.001,     -0.000
  1290, "max",      0.174,       0.024,      0.008,     -0.001,      0.000,      0.001
  1290, "min",      0.174,       0.024,      0.008,     -0.001,     -0.003,     -0.004
  1291, "max",     -0.147,       0.035,     -0.040,     -0.001,      0.003,      0.005
  1291, "min",     -0.147,       0.035,     -0.040,     -0.001,     -0.006,     -0.002
  1292, "max",     -0.102,      -0.024,     -0.011,     -0.000,      0.000,      0.001
  1292, "min",     -0.102,      -0.024,     -0.011,     -0.000,     -0.003,     -0.004
  1293, "max",      0.120,      -0.039,      0.020,      0.001,      0.004,      0.003
  1293, "min",      0.120,      -0.039,      0.020,      0.001,     -0.002,     -0.005
  1294, "max",      0.124,       0.011,     -0.033,      0.001,      0.002,      0.002
  1294, "min",      0.124,       0.011,     -0.033,      0.001,     -0.005,     -0.001
  1295, "max",      0.014,       0.000,     -0.026,      0.001,      0.005,      0.000
  1295, "min",      0.014,       0.000,     -0.026,      0.001,     -0.000,     -0.000
  1296, "max",     -0.141,       0.013,      0.041,     -0.001,      0.005,      0.002
  1296, "min",     -0.141,       0.013,      0.041,     -0.001,     -0.003,     -0.001
  1297, "max",      0.036,       0.000,     -0.056,     -0.001,      0.007,      0.000
  1297, "min",      0.036,       0.000,     -0.056,     -0.001,     -0.004,     -0.000
  1298, "max",      0.006,      -0.012,      0.033,      0.001,      0.002,      0.002
  1298, "min",      0.006,      -0.012,      0.033,      0.001,     -0.005,     -0.001
  1299, "max",     -0.002,       0.030,     -0.001,      0.001,      0.000,      0.002
  1299, "min",     -0.002,       0.030,     -0.001,      0.001,     -0.000,     -0.004
  1300, "max",      0.023,      -0.047,      0.024,     -0.001,      0.002,      0.006
  1300, "min",      0.023,      -0.047,      0.024,     -0.001,     -0.003,     -0.003
  1301, "max",     -0.001,      -0.000,      0.036,      0.001,      0.007,      0.000
  1301, "min",     -0.001,      -0.000,      0.036,      0.001,     -0.001,     -0.000
  1302, "max",     -0.006,       0.031,      0.022,     -0.001,      0.001,      0.002
  1302, "min",     -0.006,       0.031,      0.022,     -0.001,     -0.003,     -0.004
  1303, "max",     -0.223,       0.046,     -0.019,     -0.001,      0.002,      0.006
  1303, "min",     -0.223,       0.046,     -0.019,     -0.001,     -0.004,     -0.003
  1304, "max",      0.158,      -0.042,     -0.038,     -0.001,      0.002,      0.003
  1304, "min",      0.158,      -0.042,     -0.038,     -0.001,     -0.004,     -0.005
  1305, "max",      0.184,      -0.034,      0.000,      0.001,      0.001,      0.002
  1305, "min",      0.184,      -0.034,      0.000,      0.001,     -0.001,     -0.005
  1306, "max",      0.186,       0.009,     -0.020,      0.001,      0.002,      0.002
  1306, "min",      0.186,       0.009,     -0.020,      0.001,     -0.003,     -0.001
  1307, "max",     -0.303,      -0.012,     -0.054,      0.001,      0.007,      0.000
  1307, "min",     -0.303,      -0.012,     -0.054,      0.001,     -0.002,     -0.000
  1308, "max",     -0.211,      -0.006,      0.053,     -0.001,      0.007,      0.000
  1308, "min",     -0.211,      -0.006,      0.053,     -0.001,     -0.003,     -0.001
  1309, "max",      0.094,       0.014,     -0.052,     -0.000,      0.007,      0.001
  1309, "min",      0.094,       0.014,     -0.052,     -0.000,     -0.004,     -0.002
  1310, "max",     -0.045,      -0.012,      0.018,      0.001,      0.001,      0.002
  1310, "min",     -0.045,      -0.012,      0.018,      0.001,     -0.003,     -0.001
  1311, "max",     -0.051,       0.022,      0.002,      0.000,      0.000,      0.002
  1311, "min",     -0.051,       0.022,      0.002,      0.000,     -0.000,     -0.003
  1312, "max",      0.083,      -0.058,      0.013,     -0.000,      0.001,      0.008
  1312, "min",      0.083,      -0.058,      0.013,     -0.000,     -0.002,     -0.004
  1313, "max",     -0.237,      -0.009,      0.035,      0.001,      0.006,      0.000
  1313, "min",     -0.237,      -0.009,      0.035,      0.001,     -0.002,     -0.000
  1314, "max",      0.055,       0.033,      0.020,     -0.001,      0.002,      0.003
  1314, "min",      0.055,       0.033,      0.020,     -0.001,     -0.002,     -0.004
  1315, "max",     -0.131,       0.050,     -0.011,     -0.000,      0.001,      0.007
  1315, "min",     -0.131,       0.050,     -0.011,     -0.000,     -0.002,     -0.003
  1316, "max",      0.060,      -0.047,     -0.036,     -0.001,      0.003,      0.005
  1316, "min",      0.060,      -0.047,     -0.036,     -0.001,     -0.003,     -0.005
  1317, "max",      0.085,      -0.024,     -0.004,      0.001,      0.000,      0.001
  1317, "min",      0.085,      -0.024,     -0.004,      0.001,      0.000,     -0.003
  1318, "max",      0.085,       0.009,     -0.015,      0.000,      0.001,      0.002
  1318, "min",      0.085,       0.009,     -0.015,      0.000,     -0.002,     -0.001
  1319, "max",     -0.012,      -0.000,     -0.051,      0.001,      0.007,      0.000
  1319, "min",     -0.012,      -0.000,     -0.051,      0.001,     -0.003,     -0.000
  1320, "max",     -0.121,      -0.019,      0.057,     -0.000,      0.008,      0.001
  1320, "min",     -0.121,      -0.019,      0.057,     -0.000,     -0.004,     -0.003
  1321, "max",      0.119,       0.020,     -0.046,     -0.000,      0.006,      0.001
  1321, "min",      0.119,       0.020,     -0.046,     -0.000,     -0.003,     -0.003
  1322, "max",     -0.061,      -0.008,      0.009,      0.000,      0.000,      0.001
  1322, "min",     -0.061,      -0.008,      0.009,      0.000,     -0.002,     -0.001
  1323, "max",     -0.068,       0.014,     -0.000,      0.000,      0.000,      0.001
  1323, "min",     -0.068,       0.014,     -0.000,      0.000,     -0.000,     -0.002
  1324, "max",      0.108,      -0.064,      0.006,     -0.000,      0.001,      0.009
  1324, "min",      0.108,      -0.064,      0.006,     -0.000,     -0.001,     -0.004
  1325, "max",     -0.026,      -0.001,      0.037,      0.001,      0.005,      0.000
  1325, "min",     -0.026,      -0.001,      0.037,      0.001,     -0.002,     -0.000
  1326, "max",     -0.002,       0.029,      0.021,     -0.001,      0.002,      0.003
  1326, "min",     -0.002,       0.029,      0.021,     -0.001,     -0.002,     -0.003
  1327, "max",     -0.166,       0.049,     -0.001,     -0.000,      0.001,      0.006
  1327, "min",     -0.166,       0.049,     -0.001,     -0.000,     -0.001,     -0.004
  1328, "max",      0.040,      -0.049,     -0.036,     -0.001,      0.004,      0.005
  1328, "min",      0.040,      -0.049,     -0.036,     -0.001,     -0.003,     -0.004
  1329, "max",      0.112,      -0.014,     -0.008,      0.000,      0.000,      0.001
  1329, "min",      0.112,      -0.014,     -0.008,      0.000,     -0.000,     -0.002
  1330, "max",      0.111,       0.001,     -0.010,      0.000,      0.001,      0.001
  1330, "min",      0.111,       0.001,     -0.010,      0.000,     -0.002,     -0.000
  1331, "max",     -0.077,      -0.003,     -0.051,      0.001,      0.007,      0.000
  1331, "min",     -0.077,      -0.003,     -0.051,      0.001,     -0.003,     -0.000
  1332, "max",     -0.156,      -0.028,      0.059,     -0.000,      0.008,      0.002
  1332, "min",     -0.156,      -0.028,      0.059,     -0.000,     -0.004,     -0.004
  1333, "max",      0.117,       0.022,     -0.043,     -0.000,      0.006,      0.002
  1333, "min",      0.117,       0.022,     -0.043,     -0.000,     -0.003,     -0.003
  1334, "max",     -0.046,      -0.001,      0.004,      0.000,      0.000,      0.000
  1334, "min",     -0.046,      -0.001,      0.004,      0.000,     -0.001,     -0.000
  1335, "max",     -0.055,       0.006,     -0.009,      0.000,      0.002,      0.001
  1335, "min",     -0.055,       0.006,     -0.009,      0.000,     -0.001,     -0.001
  1336, "max",      0.104,      -0.069,      0.004,     -0.000,      0.001,      0.010
  1336, "min",      0.104,      -0.069,      0.004,     -0.000,     -0.001,     -0.004
  1337, "max",     -0.056,      -0.002,      0.031,      0.001,      0.005,      0.000
  1337, "min",     -0.056,      -0.002,      0.031,      0.001,     -0.002,     -0.000
  1338, "max",      0.032,       0.020,      0.013,     -0.001,      0.002,      0.003
  1338, "min",      0.032,       0.020,      0.013,     -0.001,     -0.001,     -0.002
  1339, "max",     -0.103,       0.048,     -0.002,     -0.000,      0.000,      0.006
  1339, "min",     -0.103,       0.048,     -0.002,     -0.000,     -0.001,     -0.004
  1340, "max",      0.019,      -0.046,     -0.034,     -0.001,      0.004,      0.005
  1340, "min",      0.019,      -0.046,     -0.034,     -0.001,     -0.003,     -0.004
  1341, "max",      0.036,      -0.006,     -0.001,      0.000,      0.000,      0.000
  1341, "min",      0.036,      -0.006,     -0.001,      0.000,     -0.000,     -0.001
  1342, "max",      0.036,      -0.008,     -0.011,      0.000,      0.001,      0.000
  1342, "min",      0.036,      -0.008,     -0.011,      0.000,     -0.001,     -0.001
  1343, "max",      0.015,       0.001,     -0.046,      0.001,      0.007,      0.000
  1343, "min",      0.015,       0.001,     -0.046,      0.001,     -0.002,     -0.000
  1344, "max",     -0.090,      -0.032,      0.062,     -0.000,      0.008,      0.002
  1344, "min",     -0.090,      -0.032,      0.062,     -0.000,     -0.004,     -0.005
  1345, "max",      0.129,       0.024,     -0.040,     -0.000,      0.005,      0.002
  1345, "min",      0.129,       0.024,     -0.040,     -0.000,     -0.003,     -0.003
  1346, "max",     -0.055,       0.009,      0.002,      0.000,      0.000,      0.001
  1346, "min",     -0.055,       0.009,      0.002,      0.000,     -0.001,     -0.001
  1347, "max",     -0.057,      -0.001,     -0.011,      0.000,      0.002,      0.000
  1347, "min",     -0.057,      -0.001,     -0.011,      0.000,     -0.001,      0.000
  1348, "max",      0.114,      -0.066,      0.003,     -0.000,      0.001,      0.009
  1348, "min",      0.114,      -0.066,      0.003,     -0.000,     -0.001,     -0.004
  1349, "max",      0.021,       0.001,      0.024,      0.001,      0.004,      0.000
  1349, "min",      0.021,       0.001,      0.024,      0.001,     -0.001,     -0.000
  1350, "max",      0.024,       0.015,      0.010,     -0.001,      0.002,      0.002
  1350, "min",      0.024,       0.015,      0.010,     -0.001,     -0.000,     -0.001
  1351, "max",     -0.089,       0.046,      0.002,     -0.000,      0.000,      0.006
  1351, "min",     -0.089,       0.046,      0.002,     -0.000,     -0.001,     -0.003
  1352, "max",      0.036,      -0.035,     -0.026,     -0.001,      0.003,      0.005
  1352, "min",      0.036,      -0.035,     -0.026,     -0.001,     -0.002,     -0.002
  1353, "max",      0.020,       0.001,      0.007,      0.000,      0.001,      0.000
  1353, "min",      0.020,       0.001,      0.007,      0.000,     -0.000,     -0.000
  1354, "max",      0.012,      -0.012,     -0.006,      0.000,      0.001,      0.001
  1354, "min",      0.012,      -0.012,     -0.006,      0.000,     -0.001,     -0.002
  1355, "max",      0.024,       0.001,     -0.047,      0.001,      0.007,      0.000
  1355, "min",      0.024,       0.001,     -0.047,      0.001,     -0.002,      0.000
  1356, "max",     -0.074,      -0.031,      0.059,     -0.000,      0.008,      0.002
  1356, "min",     -0.074,      -0.031,      0.059,     -0.000,     -0.004,     -0.004
  1357, "max",     -0.039,      -0.018,     -0.010,      0.000,      0.002,      0.003
  1357, "min",     -0.039,      -0.018,     -0.010,      0.000,     -0.000,     -0.001
  1358, "max",      0.108,      -0.015,      0.028,      0.001,      0.003,      0.000
  1358, "min",      0.108,      -0.015,      0.028,      0.001,     -0.002,     -0.002
  1359, "max",      0.105,       0.033,     -0.033,      0.001,      0.002,      0.003
  1359, "min",      0.105,       0.033,     -0.033,      0.001,     -0.003,     -0.004
  1360, "max",     -0.376,      -0.001,      0.007,     -0.000,     -0.000,      0.000
  1360, "min",     -0.376,      -0.001,      0.007,     -0.000,     -0.003,     -0.000
  1361, "max",     -0.124,      -0.008,      0.021,     -0.001,      0.004,      0.000
  1361, "min",     -0.124,      -0.008,      0.021,     -0.001,     -0.001,     -0.000
  1362, "max",      0.088,      -0.003,     -0.003,     -0.000,     -0.001,     -0.001
  1362, "min",      0.088,      -0.003,     -0.003,     -0.000,     -0.001,     -0.002
  1363, "max",     -0.121,      -0.002,     -0.020,     -0.001,      0.002,      0.000
  1363, "min",     -0.121,      -0.002,     -0.020,     -0.001,     -0.004,     -0.000
  1364, "max",     -0.104,       0.011,      0.016,     -0.000,      0.001,      0.001
  1364, "min",     -0.104,       0.011,      0.016,     -0.000,     -0.001,     -0.002
  1365, "max",      0.130,      -0.005,     -0.000,      0.000,      0.001,      0.001
  1365, "min",      0.130,      -0.005,     -0.000,      0.000,     -0.000,     -0.000
  1366, "max",      0.141,       0.003,     -0.021,      0.001,      0.002,      0.001
  1366, "min",      0.141,       0.003,     -0.021,      0.001,     -0.003,     -0.001
  1367, "max",      0.020,      -0.002,     -0.000,      0.000,      0.001,      0.000
  1367, "min",      0.020,      -0.002,     -0.000,      0.000,      0.001,     -0.000
  1368, "max",     -0.143,       0.009,      0.008,     -0.000,      0.001,      0.001
  1368, "min",     -0.143,       0.009,      0.008,     -0.000,     -0.000,     -0.000
  1369, "max",     -0.053,      -0.009,     -0.041,     -0.001,      0.005,      0.001
  1369, "min",     -0.053,      -0.009,     -0.041,     -0.001,     -0.003,     -0.001
  1370, "max",      0.093,      -0.002,      0.027,      0.001,      0.002,      0.000
  1370, "min",      0.093,      -0.002,      0.027,      0.001,     -0.003,     -0.000
  1371, "max",      0.073,       0.020,     -0.011,      0.001,      0.001,      0.001
  1371, "min",      0.073,       0.020,     -0.011,      0.001,     -0.000,     -0.003
  1372, "max",     -0.061,      -0.029,      0.016,     -0.000,      0.001,      0.004
  1372, "min",     -0.061,      -0.029,      0.016,     -0.000,     -0.002,     -0.002
  1373, "max",      0.042,       0.001,      0.025,      0.000,      0.005,      0.000
  1373, "min",      0.042,       0.001,      0.025,      0.000,      0.000,     -0.000
  1374, "max",     -0.067,       0.011,      0.010,     -0.001,      0.000,      0.000
  1374, "min",     -0.067,       0.011,      0.010,     -0.001,     -0.001,     -0.002
  1375, "max",     -0.177,       0.028,     -0.021,     -0.001,      0.002,      0.004
  1375, "min",     -0.177,       0.028,     -0.021,     -0.001,     -0.004,     -0.002
  1376, "max",      0.090,      -0.027,     -0.024,     -0.000,      0.002,      0.002
  1376, "min",      0.090,      -0.027,     -0.024,     -0.000,     -0.002,     -0.003
  1377, "max",      0.139,      -0.019,      0.009,      0.001,      0.002,      0.001
  1377, "min",      0.139,      -0.019,      0.009,      0.001,     -0.001,     -0.003
  1378, "max",      0.154,      -0.001,     -0.017,      0.001,      0.001,      0.001
  1378, "min",      0.154,      -0.001,     -0.017,      0.001,     -0.003,     -0.000
  1379, "max",     -0.622,      -0.024,     -0.034,      0.001,      0.003,      0.000
  1379, "min",     -0.622,      -0.024,     -0.034,      0.001,      0.000,     -0.000
  1380, "max",     -0.170,      -0.006,      0.032,     -0.000,      0.004,      0.000
  1380, "min",     -0.170,      -0.006,      0.032,     -0.000,     -0.002,     -0.001
  1381, "max",      0.155,       0.011,     -0.055,     -0.001,      0.007,      0.001
  1381, "min",      0.155,       0.011,     -0.055,     -0.001,     -0.004,     -0.001
  1382, "max",     -0.096,       0.005,      0.015,      0.000,      0.001,      0.000
  1382, "min",     -0.096,       0.005,      0.015,      0.000,     -0.002,     -0.000
  1383, "max",     -0.108,       0.017,      0.001,      0.000,      0.001,      0.001
  1383, "min",     -0.108,       0.017,      0.001,      0.000,     -0.000,     -0.002
  1384, "max",      0.150,      -0.055,      0.003,     -0.000,      0.001,      0.007
  1384, "min",      0.150,      -0.055,      0.003,     -0.000,     -0.001,     -0.004
  1385, "max",     -0.458,      -0.018,      0.025,      0.001,      0.006,      0.000
  1385, "min",     -0.458,      -0.018,      0.025,      0.001,     -0.001,     -0.000
  1386, "max",      0.019,       0.029,      0.020,     -0.001,      0.002,      0.003
  1386, "min",      0.019,       0.029,      0.020,     -0.001,     -0.002,     -0.003
  1387, "max",     -0.047,       0.052,     -0.020,     -0.001,      0.002,      0.007
  1387, "min",     -0.047,       0.052,     -0.020,     -0.001,     -0.003,     -0.004
  1388, "max",      0.095,      -0.038,     -0.031,     -0.001,      0.003,      0.004
  1388, "min",      0.095,      -0.038,     -0.031,     -0.001,     -0.002,     -0.003
  1389, "max",     -0.009,      -0.014,      0.012,      0.000,      0.002,      0.001
  1389, "min",     -0.009,      -0.014,      0.012,      0.000,     -0.001,     -0.002
  1390, "max",     -0.004,       0.006,     -0.017,      0.000,      0.001,      0.001
  1390, "min",     -0.004,       0.006,     -0.017,      0.000,     -0.002,     -0.000
  1391, "max",     -0.002,      -0.000,     -0.039,      0.001,      0.006,      0.000
  1391, "min",     -0.002,      -0.000,     -0.039,      0.001,     -0.002,     -0.000
  1392, "max",     -0.042,      -0.023,      0.051,     -0.000,      0.007,      0.001
  1392, "min",     -0.042,      -0.023,      0.051,     -0.000,     -0.003,     -0.003
  1393, "max",      0.170,       0.024,     -0.060,     -0.000,      0.008,      0.002
  1393, "min",      0.170,       0.024,     -0.060,     -0.000,     -0.004,     -0.003
  1394, "max",     -0.094,       0.001,      0.010,      0.000,      0.001,      0.000
  1394, "min",     -0.094,       0.001,      0.010,      0.000,     -0.002,     -0.000
  1395, "max",     -0.106,       0.013,      0.002,      0.000,      0.000,      0.001
  1395, "min",     -0.106,       0.013,      0.002,      0.000,     -0.000,     -0.002
  1396, "max",      0.160,      -0.073,     -0.001,     -0.000,      0.001,      0.010
  1396, "min",      0.160,      -0.073,     -0.001,     -0.000,     -0.001,     -0.005
  1397, "max",     -0.054,      -0.002,      0.043,      0.001,      0.007,     -0.000
  1397, "min",     -0.054,      -0.002,      0.043,      0.001,     -0.002,     -0.000
  1398, "max",      0.039,       0.035,      0.023,     -0.001,      0.003,      0.004
  1398, "min",      0.039,       0.035,      0.023,     -0.001,     -0.002,     -0.003
  1399, "max",     -0.144,       0.064,     -0.007,     -0.000,      0.001,      0.008
  1399, "min",     -0.144,       0.064,     -0.007,     -0.000,     -0.002,     -0.004
  1400, "max",     -0.032,      -0.051,     -0.034,     -0.001,      0.004,      0.006
  1400, "min",     -0.032,      -0.051,     -0.034,     -0.001,     -0.003,     -0.004
  1401, "max",      0.074,      -0.011,      0.002,      0.000,      0.001,      0.001
  1401, "min",      0.074,      -0.011,      0.002,      0.000,     -0.000,     -0.002
  1402, "max",      0.076,       0.002,     -0.010,      0.000,      0.001,      0.001
  1402, "min",      0.076,       0.002,     -0.010,      0.000,     -0.002,     -0.000
  1403, "max",     -0.129,      -0.005,     -0.056,      0.002,      0.008,     -0.000
  1403, "min",     -0.129,      -0.005,     -0.056,      0.002,     -0.003,     -0.000
  1404, "max",     -0.135,      -0.036,      0.064,     -0.000,      0.009,      0.002
  1404, "min",     -0.135,      -0.036,      0.064,     -0.000,     -0.004,     -0.005
  1405, "max",      0.168,       0.033,     -0.063,     -0.000,      0.008,      0.002
  1405, "min",      0.168,       0.033,     -0.063,     -0.000,     -0.004,     -0.004
  1406, "max",     -0.083,       0.002,      0.004,      0.000,      0.000,      0.000
  1406, "min",     -0.083,       0.002,      0.004,      0.000,     -0.001,     -0.000
  1407, "max",     -0.093,       0.009,      0.001,      0.000,      0.000,      0.001
  1407, "min",     -0.093,       0.009,      0.001,      0.000,     -0.000,     -0.001
  1408, "max",      0.159,      -0.085,     -0.003,     -0.000,      0.000,      0.012
  1408, "min",      0.159,      -0.085,     -0.003,     -0.000,     -0.001,     -0.005
  1409, "max",     -0.132,      -0.005,      0.045,      0.001,      0.007,      0.000
  1409, "min",     -0.132,      -0.005,      0.045,      0.001,     -0.003,     -0.000
  1410, "max",      0.005,       0.039,      0.027,     -0.001,      0.003,      0.005
  1410, "min",      0.005,       0.039,      0.027,     -0.001,     -0.002,     -0.003
  1411, "max",     -0.126,       0.071,     -0.002,     -0.000,      0.001,      0.009
  1411, "min",     -0.126,       0.071,     -0.002,     -0.000,     -0.001,     -0.005
  1412, "max",      0.036,      -0.055,     -0.041,     -0.002,      0.005,      0.007
  1412, "min",      0.036,      -0.055,     -0.041,     -0.002,     -0.003,     -0.004
  1413, "max",      0.046,      -0.006,      0.000,      0.000,      0.000,      0.000
  1413, "min",      0.046,      -0.006,      0.000,      0.000,     -0.000,     -0.001
  1414, "max",      0.044,       0.001,     -0.008,      0.000,      0.001,      0.000
  1414, "min",      0.044,       0.001,     -0.008,      0.000,     -0.001,     -0.000
  1415, "max",      0.047,       0.002,     -0.060,      0.002,      0.009,      0.000
  1415, "min",      0.047,       0.002,     -0.060,      0.002,     -0.004,     -0.000
  1416, "max",     -0.116,      -0.045,      0.073,     -0.000,      0.010,      0.003
  1416, "min",     -0.116,      -0.045,      0.073,     -0.000,     -0.005,     -0.006
  1417, "max",      0.189,       0.037,     -0.065,     -0.000,      0.009,      0.003
  1417, "min",      0.189,       0.037,     -0.065,     -0.000,     -0.005,     -0.005
  1418, "max",     -0.093,       0.004,     -0.000,      0.000,     -0.000,      0.000
  1418, "min",     -0.093,       0.004,     -0.000,      0.000,     -0.001,      0.000
  1419, "max",     -0.106,       0.008,     -0.006,      0.000,      0.001,      0.001
  1419, "min",     -0.106,       0.008,     -0.006,      0.000,     -0.001,     -0.001
  1420, "max",      0.184,      -0.094,     -0.005,     -0.000,      0.000,      0.013
  1420, "min",      0.184,      -0.094,     -0.005,     -0.000,     -0.001,     -0.006
  1421, "max",      0.012,       0.000,      0.052,      0.001,      0.007,      0.000
  1421, "min",      0.012,       0.000,      0.052,      0.001,     -0.003,     -0.000
  1422, "max",      0.040,       0.040,      0.027,     -0.001,      0.004,      0.005
